hour,total,near,share_near_hospital
0,16447,502,0.03052228369915486
1,9601,347,0.03614206853452765
2,5066,111,0.021910777733912357
3,5009,117,0.0233579556797764
4,6747,235,0.03483029494590188
5,14952,370,0.024745853397538792
6,37693,1123,0.029793330326585838
7,122340,1722,0.014075527219225111
8,107569,2257,0.020981881397056774
9,118380,3407,0.02878019935799966
10,103007,4392,0.04263787897909851
11,111410,4761,0.04273404541782605
12,114981,5785,0.05031266035257999
13,118004,5514,0.046727229585437784
14,168422,5499,0.03265012884302526
15,134009,5574,0.04159422128364513
16,130565,5270,0.04036303756749512
17,111483,5098,0.0457289452203475
18,101561,5202,0.05122044879432065
19,73284,4371,0.05964467005076142
20,57836,2134,0.03689743412407497
21,43139,1593,0.03692714249287188
22,29735,980,0.032957793845636456
23,21410,708,0.03306865950490425
