hour,total,near,share_near_school
0,16447,799,0.04858028819845565
1,9601,584,0.06082699718779294
2,5066,249,0.0491512041058034
3,5009,292,0.058295068876023155
4,6747,517,0.07662664888098414
5,14952,1224,0.08186195826645265
6,37693,3742,0.09927572758867695
7,122340,9427,0.07705574628085662
8,107569,7027,0.06532551199695079
9,118380,8049,0.06799290420679169
10,103007,7409,0.07192715058199928
11,111410,6862,0.061592316668162644
12,114981,6392,0.05559179342674007
13,118004,6350,0.053811735195417106
14,168422,8648,0.051347211171937156
15,134009,5804,0.04331052392003522
16,130565,4842,0.03708497683146326
17,111483,3872,0.03473175282330041
18,101561,3289,0.032384478293833265
19,73284,2361,0.03221712788603242
20,57836,1790,0.030949581575489316
21,43139,1417,0.032847307540740396
22,29735,1114,0.037464267697998994
23,21410,847,0.03956095282578234
