nta2020,ntaname,hour,violations,lane_miles,rate
MN0202,Greenwich Village,0,19,0.7862335751945486,24.165846638257044
MN0202,Greenwich Village,1,14,0.7862335751945486,17.80641331239993
MN0202,Greenwich Village,2,2,0.7862335751945486,2.5437733303428467
MN0202,Greenwich Village,3,3,0.7862335751945486,3.8156599955142703
MN0202,Greenwich Village,4,10,0.7862335751945486,12.718866651714235
MN0202,Greenwich Village,5,19,0.7862335751945486,24.165846638257044
MN0202,Greenwich Village,6,97,0.7862335751945486,123.37300652162807
MN0202,Greenwich Village,7,130,0.7862335751945486,165.34526647228503
MN0202,Greenwich Village,8,199,0.7862335751945486,253.10544636911325
MN0202,Greenwich Village,9,257,0.7862335751945486,326.8748729490558
MN0202,Greenwich Village,10,250,0.7862335751945486,317.97166629285584
MN0202,Greenwich Village,11,291,0.7862335751945486,370.1190195648842
MN0202,Greenwich Village,12,251,0.7862335751945486,319.2435529580273
MN0202,Greenwich Village,13,315,0.7862335751945486,400.6442995289984
MN0202,Greenwich Village,14,275,0.7862335751945486,349.7688329221414
MN0202,Greenwich Village,15,206,0.7862335751945486,262.0086530253132
MN0202,Greenwich Village,16,240,0.7862335751945486,305.2527996411416
MN0202,Greenwich Village,17,166,0.7862335751945486,211.1331864184563
MN0202,Greenwich Village,18,131,0.7862335751945486,166.61715313745646
MN0202,Greenwich Village,19,123,0.7862335751945486,156.44205981608508
MN0202,Greenwich Village,20,64,0.7862335751945486,81.4007465709711
MN0202,Greenwich Village,21,74,0.7862335751945486,94.11961322268533
MN0202,Greenwich Village,22,31,0.7862335751945486,39.428486620314125
MN0202,Greenwich Village,23,31,0.7862335751945486,39.428486620314125
MN0203,West Village,0,45,1.0225145370547766,44.00915426553914
MN0203,West Village,1,11,1.0225145370547766,10.757793264909568
MN0203,West Village,2,7,1.0225145370547766,6.845868441306089
MN0203,West Village,3,8,1.0225145370547766,7.823849647206958
MN0203,West Village,4,6,1.0225145370547766,5.8678872354052185
MN0203,West Village,5,26,1.0225145370547766,25.427511353422613
MN0203,West Village,6,110,1.0225145370547766,107.57793264909567
MN0203,West Village,7,175,1.0225145370547766,171.1467110326522
MN0203,West Village,8,214,1.0225145370547766,209.28797806278612
MN0203,West Village,9,254,1.0225145370547766,248.40722629882092
MN0203,West Village,10,259,1.0225145370547766,253.29713232832526
MN0203,West Village,11,211,1.0225145370547766,206.35403444508353
MN0203,West Village,12,252,1.0225145370547766,246.4512638870192
MN0203,West Village,13,202,1.0225145370547766,197.5522035919757
MN0203,West Village,14,195,1.0225145370547766,190.70633515066962
MN0203,West Village,15,145,1.0225145370547766,141.80727485562613
MN0203,West Village,16,145,1.0225145370547766,141.80727485562613
MN0203,West Village,17,121,1.0225145370547766,118.33572591400524
MN0203,West Village,18,106,1.0225145370547766,103.6660078254922
MN0203,West Village,19,100,1.0225145370547766,97.79812059008698
MN0203,West Village,20,94,1.0225145370547766,91.93023335468176
MN0203,West Village,21,121,1.0225145370547766,118.33572591400524
MN0203,West Village,22,63,1.0225145370547766,61.6128159717548
MN0203,West Village,23,48,1.0225145370547766,46.94309788324175
MN0302,Lower East Side,0,246,1.0843292041552683,226.86837083913358
MN0302,Lower East Side,1,138,1.0843292041552683,127.26762266585543
MN0302,Lower East Side,2,73,1.0843292041552683,67.32272793193802
MN0302,Lower East Side,3,46,1.0843292041552683,42.42254088861847
MN0302,Lower East Side,4,57,1.0843292041552683,52.567061535896805
MN0302,Lower East Side,5,160,1.0843292041552683,147.5566639604121
MN0302,Lower East Side,6,365,1.0843292041552683,336.6136396596901
MN0302,Lower East Side,7,688,1.0843292041552683,634.493655029772
MN0302,Lower East Side,8,766,1.0843292041552683,706.4275287104729
MN0302,Lower East Side,9,738,1.0843292041552683,680.6051125174007
MN0302,Lower East Side,10,892,1.0843292041552683,822.6284015792974
MN0302,Lower East Side,11,966,1.0843292041552683,890.873358660988
MN0302,Lower East Side,12,1042,1.0843292041552683,960.9627740421837
MN0302,Lower East Side,13,1173,1.0843292041552683,1081.774792659771
MN0302,Lower East Side,14,929,1.0843292041552683,856.7508801201427
MN0302,Lower East Side,15,823,1.0843292041552683,758.9945902463696
MN0302,Lower East Side,16,755,1.0843292041552683,696.2830080631945
MN0302,Lower East Side,17,800,1.0843292041552683,737.7833198020604
MN0302,Lower East Side,18,644,1.0843292041552683,593.9155724406586
MN0302,Lower East Side,19,670,1.0843292041552683,617.8935303342256
MN0302,Lower East Side,20,611,1.0843292041552683,563.4820104988237
MN0302,Lower East Side,21,548,1.0843292041552683,505.3815740644114
MN0302,Lower East Side,22,470,1.0843292041552683,433.44770038371047
MN0302,Lower East Side,23,316,1.0843292041552683,291.42441132181386
MN0303,East Village,0,612,2.9600785401041145,206.7512708559666
MN0303,East Village,1,277,2.9600785401041145,93.57859808350122
MN0303,East Village,2,187,2.9600785401041145,63.17399942821202
MN0303,East Village,3,78,2.9600785401041145,26.350652167917314
MN0303,East Village,4,275,2.9600785401041145,92.9029403356059
MN0303,East Village,5,468,2.9600785401041145,158.10391300750388
MN0303,East Village,6,1265,2.9600785401041145,427.3535255437872
MN0303,East Village,7,3775,2.9600785401041145,1275.3039991524083
MN0303,East Village,8,4623,2.9600785401041145,1561.7828842600222
MN0303,East Village,9,4464,2.9600785401041145,1508.0680933023448
MN0303,East Village,10,3513,2.9600785401041145,1186.7928341781221
MN0303,East Village,11,3577,2.9600785401041145,1208.4138821107722
MN0303,East Village,12,3895,2.9600785401041145,1315.8434640261273
MN0303,East Village,13,4194,2.9600785401041145,1416.854297336477
MN0303,East Village,14,6096,2.9600785401041145,2059.4048155849223
MN0303,East Village,15,4716,2.9600785401041145,1593.2009695371544
MN0303,East Village,16,4230,2.9600785401041145,1429.0161367985927
MN0303,East Village,17,3849,2.9600785401041145,1300.303335824535
MN0303,East Village,18,3346,2.9600785401041145,1130.3754122288633
MN0303,East Village,19,2837,2.9600785401041145,958.4205153895053
MN0303,East Village,20,2792,2.9600785401041145,943.2182160618607
MN0303,East Village,21,1925,2.9600785401041145,650.3205823492414
MN0303,East Village,22,1110,2.9600785401041145,374.9900500819002
MN0303,East Village,23,724,2.9600785401041145,244.58810473810428
MN0401,Chelsea-Hudson Yards,0,132,2.0322020720809486,64.9541705588528
MN0401,Chelsea-Hudson Yards,1,46,2.0322020720809486,22.635544285660824
MN0401,Chelsea-Hudson Yards,2,40,2.0322020720809486,19.68308198753115
MN0401,Chelsea-Hudson Yards,3,37,2.0322020720809486,18.206850838466313
MN0401,Chelsea-Hudson Yards,4,40,2.0322020720809486,19.68308198753115
