nta2020,ntaname,hour,violations,lane_miles,rate
MN0901,Morningside Heights,0,328,0.1706396390748625,1922.1794055489115
MN0702,Upper West Side (Central),0,81,0.1701187723342911,476.1379293334619
MN1203,Inwood,0,245,0.520993029359895,470.25581186952365
MN1102,East Harlem (North),0,1139,2.4420156603422307,466.41797532141027
MN0602,Gramercy,0,631,1.51414436863584,416.7370120515628
MN0901,Morningside Heights,1,233,0.1706396390748625,1365.450614307611
MN0702,Upper West Side (Central),1,101,0.1701187723342911,593.7028501565391
MN1102,East Harlem (North),1,769,2.4420156603422307,314.90379545405136
MN1101,East Harlem (South),1,316,1.488517652045537,212.29173840548643
MN1203,Inwood,1,97,0.520993029359895,186.182913270791
MN0901,Morningside Heights,2,102,0.1706396390748625,597.7509127011859
MN0702,Upper West Side (Central),2,34,0.1701187723342911,199.86036539923097
MN1102,East Harlem (North),2,354,2.4420156603422307,144.9622153325542
MN0602,Gramercy,2,190,1.51414436863584,125.48341091885408
MN1101,East Harlem (South),2,126,1.488517652045537,84.64797164269396
MN0901,Morningside Heights,3,119,0.1706396390748625,697.3760648180503
MN0702,Upper West Side (Central),3,38,0.1701187723342911,223.37334956384635
MN1102,East Harlem (North),3,358,2.4420156603422307,146.60020646625537
MN0602,Gramercy,3,156,1.51414436863584,103.02848475442757
MN1101,East Harlem (South),3,126,1.488517652045537,84.64797164269396
MN0901,Morningside Heights,4,280,0.1706396390748625,1640.8848583954125
MN0702,Upper West Side (Central),4,46,0.1701187723342911,270.3993178930772
MN1102,East Harlem (North),4,533,2.4420156603422307,218.2623185656819
MN0601,Stuyvesant Town-Peter Cooper Village,4,37,0.2663108660409251,138.93537484990966
MN0803,Upper East Side-Yorkville,4,286,2.297437054288396,124.4865444588144
MN0901,Morningside Heights,5,462,0.1706396390748625,2707.4600163524306
MN0702,Upper West Side (Central),5,122,0.1701187723342911,717.1460170207699
MN1102,East Harlem (North),5,953,2.4420156603422307,390.25138760430553
MN1101,East Harlem (South),5,502,1.488517652045537,337.24826797327273
MN0803,Upper East Side-Yorkville,5,742,2.297437054288396,322.9685873721688
MN0901,Morningside Heights,6,1045,0.1706396390748625,6124.016703654307
MN0702,Upper West Side (Central),6,495,0.1701187723342911,2909.7317903711564
MN1101,East Harlem (South),6,2012,1.488517652045537,1351.6803090880971
MN0601,Stuyvesant Town-Peter Cooper Village,6,312,0.2663108660409251,1171.5631608965357
MN0602,Gramercy,6,1760,1.51414436863584,1162.3726485114903
MN0602,Gramercy,7,18258,1.51414436863584,12058.29535029704
MN0702,Upper West Side (Central),7,1792,0.1701187723342911,10533.816905747704
MN0901,Morningside Heights,7,1504,0.1706396390748625,8813.895810809643
MN1203,Inwood,7,3706,0.520993029359895,7113.338933830427
MN1101,East Harlem (South),7,8834,1.488517652045537,5934.763345171098
MN0901,Morningside Heights,8,2066,0.1706396390748625,12107.386133731865
MN0702,Upper West Side (Central),8,1931,0.1701187723342911,11350.893105468089
MN0602,Gramercy,8,10065,1.51414436863584,6647.318583675086
MN1203,Inwood,8,3459,0.520993029359895,6639.244299006867
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,8,11177,2.7187474970825556,4111.084244489
MN0901,Morningside Heights,9,2814,0.1706396390748625,16490.892826873893
MN0702,Upper West Side (Central),9,2601,0.1701187723342911,15289.317953041167
MN6491,Central Park,9,1203,0.1550396412666027,7759.305879270891
MN1203,Inwood,9,3989,0.520993029359895,7656.532381826652
MN0602,Gramercy,9,6726,1.51414436863584,4442.112746527435
MN0901,Morningside Heights,10,3369,0.1706396390748625,19743.36102833623
MN0702,Upper West Side (Central),10,2986,0.1701187723342911,17552.4426788854
MN6491,Central Park,10,651,0.1550396412666027,4198.926124193973
MN1203,Inwood,10,1993,0.520993029359895,3825.3870736977983
MN1001,Harlem (South),10,3538,1.2382362026780174,2857.290064971552
MN0901,Morningside Heights,11,3547,0.1706396390748625,20786.494974030455
MN0702,Upper West Side (Central),11,3285,0.1701187723342911,19310.0382451904
MN1203,Inwood,11,2834,0.520993029359895,5439.612125870327
MN6491,Central Park,11,640,0.1550396412666027,4127.976527625411
MN1001,Harlem (South),11,4723,1.2382362026780174,3814.296488654788
MN0901,Morningside Heights,12,3267,0.1706396390748625,19145.61011563504
MN0702,Upper West Side (Central),12,3087,0.1701187723342911,18146.14552904194
MN1203,Inwood,12,3656,0.520993029359895,7017.368359979504
MN1001,Harlem (South),12,6173,1.2382362026780174,4985.317007085752
MN6491,Central Park,12,563,0.1550396412666027,3631.329351645479
MN0702,Upper West Side (Central),13,3675,0.1701187723342911,21602.554201240404
MN0901,Morningside Heights,13,3055,0.1706396390748625,17903.22586570709
MN1203,Inwood,13,3974,0.520993029359895,7627.741209671376
MN1001,Harlem (South),13,6498,1.2382362026780174,5247.787123285795
MN6491,Central Park,13,650,0.1550396412666027,4192.476160869558
MN0702,Upper West Side (Central),14,3370,0.1701187723342911,19809.68915868848
MN0901,Morningside Heights,14,2698,0.1706396390748625,15811.097671252935
MN0602,Gramercy,14,15748,1.51414436863584,10400.593448158495
MN1203,Inwood,14,3926,0.520993029359895,7535.609458774489
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,14,20386,2.7187474970825556,7498.305753614813
MN0702,Upper West Side (Central),15,2882,0.1701187723342911,16941.1050906054
MN0901,Morningside Heights,15,2207,0.1706396390748625,12933.688865995267
MN1203,Inwood,15,3654,0.520993029359895,7013.529537025467
MN0602,Gramercy,15,9769,1.51414436863584,6451.828638243608
MN1001,Harlem (South),15,6570,1.2382362026780174,5305.934349028575
MN1203,Inwood,16,12811,0.520993029359895,24589.58043208354
MN0702,Upper West Side (Central),16,2081,0.1701187723342911,12232.630011641166
MN0901,Morningside Heights,16,2086,0.1706396390748625,12224.59219504582
MN1001,Harlem (South),16,6921,1.2382362026780174,5589.402074524622
MN0602,Gramercy,16,7310,1.51414436863584,4827.809125351702
MN1203,Inwood,17,9423,0.520993029359895,18086.614347944986
MN0901,Morningside Heights,17,1823,0.1706396390748625,10683.332488767272
MN0702,Upper West Side (Central),17,1397,0.1701187723342911,8211.90971949193
MN1001,Harlem (South),17,6228,1.2382362026780174,5029.735026750374
MN1102,East Harlem (North),17,8024,2.4420156603422307,3285.810214204562
MN1203,Inwood,18,8475,0.520993029359895,16267.01226773148
MN0901,Morningside Heights,18,1642,0.1706396390748625,9622.617633875954
MN0702,Upper West Side (Central),18,1096,0.1701187723342911,6442.557661104622
MN1001,Harlem (South),18,6244,1.2382362026780174,5042.656632470992
MN1102,East Harlem (North),18,6750,2.4420156603422307,2764.110038120737
MN0901,Morningside Heights,19,1529,0.1706396390748625,8960.40338745209
MN1203,Inwood,19,3566,0.520993029359895,6844.621327047842
MN1001,Harlem (South),19,5366,1.2382362026780174,4333.5835185521055
MN0702,Upper West Side (Central),19,640,0.1701187723342911,3762.077466338465
MN1102,East Harlem (North),19,4110,2.4420156603422307,1683.0358898779598
MN1203,Inwood,20,3743,0.520993029359895,7184.35715848011
MN0901,Morningside Heights,20,1220,0.1706396390748625,7149.56974015144
MN0702,Upper West Side (Central),20,404,0.1701187723342911,2374.811400626156
MN1001,Harlem (South),20,2514,1.2382362026780174,2030.3072988520296
MN1102,East Harlem (North),20,3111,2.4420156603422307,1273.947604236091
MN0901,Morningside Heights,21,925,0.1706396390748625,5420.780335770559
MN1203,Inwood,21,2628,0.520993029359895,5044.213361604523
MN0702,Upper West Side (Central),21,294,0.1701187723342911,1728.2043360992325
MN1001,Harlem (South),21,1391,1.2382362026780174,1123.3720973361867
MN1102,East Harlem (North),21,2371,2.4420156603422307,970.919244501373
MN0901,Morningside Heights,22,657,0.1706396390748625,3850.219114163521
MN1203,Inwood,22,1813,0.520993029359895,3479.893007834475
MN0702,Upper West Side (Central),22,190,0.1701187723342911,1116.8667478192317
MN1001,Harlem (South),22,875,1.2382362026780174,706.6503128462713
MN1102,East Harlem (North),22,1612,2.4420156603422307,660.1104268815745
MN0901,Morningside Heights,23,422,0.1706396390748625,2473.0478937245143
MN0702,Upper West Side (Central),23,119,0.1701187723342911,699.5112788973083
MN1203,Inwood,23,363,0.520993029359895,696.7463661577024
MN1102,East Harlem (North),23,1376,2.4420156603422307,563.468949993205
MN1001,Harlem (South),23,634,1.2382362026780174,512.0186266794698
